AF3_Mean,AF3_Std,F7_Mean,F7_Std,F3_Mean,F3_Std,FC5_Mean,FC5_Std,T7_Mean,T7_Std,P7_Mean,P7_Std,O1_Mean,O1_Std,O2_Mean,O2_Std,FC6_Mean,FC6_Std,F4_Mean,F4_Std,F8_Mean,F8_Std,AF4_Mean,AF4_Std,class
4130.5583994,25.3441516408,4125.45667339,6.04694641248,4127.26402493,11.440733404,4124.88121648,16.5282293005,4125.52440556,7.8839452223,4130.23094717,12.6885517166,4127.99837031,10.3337086718,4127.96424826,6.56601143226,4126.26537279,23.19639304,4122.58396415,9.65108794555,4136.40109017,35.9873522552,4128.98785402,25.8822414642,0.0
4118.77753055,32.9907743144,4132.54602663,21.8694671053,4106.99872794,30.0137283991,4166.76173133,62.664288647,4211.80959922,192.615159459,4120.89040914,14.5075091509,4102.00843446,30.4205016139,4116.35134282,13.9467067539,4079.62107415,42.0057327209,4099.50726606,42.0345771703,4193.12579869,102.999010723,4076.65796501,122.235947888,1.0
4151.69811572,18.0493582858,4130.90469182,8.98744983198,4123.87034497,20.7984236516,4134.04934686,50.647012571,4219.10821226,219.326913292,4112.90114434,20.004551397,4094.57184497,25.3487787822,4116.64086635,11.6743853018,4123.15110409,12.8784154286,4109.91614308,20.5782929842,4200.90630472,83.0657874464,4126.7505261,29.7125643016,1.0
4123.80010035,25.4697010514,4128.30911773,6.42596719409,4126.73559733,19.5977703948,4125.82167173,24.3916845841,4136.37341379,19.0318501728,4129.40487717,25.649389131,4130.46795597,20.847429608,4132.09258007,15.1187999691,4134.54556327,56.2326745134,4111.09011587,27.5521213962,4120.75942572,35.7012091385,4129.511246,29.7730090329,0.0
4103.47867597,40.6132923376,4122.33762995,8.31533979051,4133.97718122,26.2442176394,4121.1644758,52.9721380914,3981.98186464,103.955686433,4118.2255181,23.5629297233,4138.09449188,34.4941955012,4137.13393232,20.7842600769,4145.06139137,26.1915053029,4155.18677682,50.2620855657,4074.58718274,103.109393027,4142.77062014,67.1800285756,1.0
4132.01885437,22.0124517856,4126.66934159,6.34785971876,4128.43914055,16.0649279745,4128.37027562,23.6469232716,4140.28348709,110.00622357,4120.23401186,24.2047239895,4126.96152216,26.6468674579,4125.98402151,18.2299728521,4132.48420313,15.9885169601,4120.50078501,53.1783960061,4148.93524407,70.3194076763,4124.28575958,21.5097907241,0.0
4129.00847454,21.1275928217,4128.53600329,5.65465211874,4127.65855951,14.6728352941,4136.18502475,29.0960162194,4132.39719628,17.8693696606,4131.80660973,21.8737292002,4131.89097897,21.7889130643,4134.38758655,11.657934972,4139.25314564,39.2542046796,4112.93422947,52.2477951285,4202.26844292,104.129225962,4126.93591459,26.5552598516,0.0
4121.832007,51.9747837797,4131.1441199,13.198526702,4128.57799823,23.3572929247,4133.75824148,103.50781432,4090.17203458,339.028550452,4131.0920798,24.2777482368,4133.5702932,35.2925084764,4127.6554264,14.4594168433,4123.04862975,24.5332235508,4129.52936729,34.6405207256,4087.21535744,265.844031153,4139.33863882,160.869460244,1.0
4136.19395782,30.3660063174,4129.54049158,8.28175274836,4130.48286208,26.281977988,4128.63163257,79.0290229332,4144.99720921,276.982842834,4129.97156525,30.6641405327,4127.17034941,44.2885475082,4129.78522366,14.8343609011,4127.58720416,19.5084306696,4125.50444416,47.4884406989,4170.28839802,142.836522086,4128.45036851,105.965956366,1.0
4128.71465711,38.6590761278,4132.09269241,10.3074507697,4124.23584428,27.7662622073,4128.3203061,58.1928349015,4072.63019326,506.729765609,4076.91814096,36.2961182522,4130.11271294,27.3227544699,4129.65638364,17.217267,4139.65994813,31.2479021626,4123.2919215,26.6471127719,4123.98409283,76.3770889201,4129.16605037,51.8316126714,1.0
4136.13237488,24.5164745717,4127.77213645,6.50848422367,4124.94025429,24.8509931058,4139.40381488,23.4468876437,4181.2252132,143.021821848,4131.16938217,35.2118444639,4131.16483537,33.4487257767,4132.60124,20.6802839559,4125.66729813,26.4954100991,4124.93065557,21.9589308985,4115.97019113,155.141414787,4131.29922877,31.4935637883,0.0
4131.42907714,21.1667491145,4132.17430966,4.98772825148,4127.44928749,14.0553345359,4129.36061527,32.7262203433,4119.24062217,19.1440050193,4128.35367025,19.0917567454,4129.94012906,15.8209689369,4130.08664887,10.7007047627,4125.04686227,20.0997282584,4121.40154148,11.0293877269,4157.26057842,47.7777344306,4130.76518936,24.0107520416,0.0
4122.33520291,44.8092542689,4128.35727616,7.37094283429,4128.18882742,21.7988244736,4146.51723603,96.6325649856,3904.19018437,563.520445705,4130.89624596,27.2287287835,4134.9431143,22.9342147337,4133.40057828,11.2662313829,4119.33706861,59.9176036097,4135.40567046,26.0334676138,4082.80794675,116.755339593,4136.87349245,39.7391422301,1.0
